Checked,Original title,Local title,Year,Media type,Type,Edition,Country,Case,Discs,Sub-fi,Sub-en,Aspect ratio,Running time,Director,Status,Condition,Notes,Watched,Rental,Slip Cover,Hologram,Id,Barcode,IMDB,Collection Id,Series,Publisher,Studio,Vihkonen,Kohtausluettelo,2 Sided Disc,2 Sided Cover
yes,The Wizard of Oz,Ihmemaa Oz,1939,Movie,DVD,,Finland,,1,yes,yes,1.33:1,96,Victor Fleming,Owned,Fair,,no,no,no,no,2159,7321944651237,tt0032138,,,,,,,,
no,The Wizard of Oz,Ihmemaa Oz,1939,,DVD,Special Edition,Finland,,2,yes,yes,1.33:1,97,Victor Fleming,Owned,Fair,,no,no,yes,no,6188,7321944675363,tt0032138,,,,,no,no,no,
no,The Wolf Man,,1941,Movie,Blu-ray,,United Kingdom,,1,no,no,,70,George Waggner,Owned,,,no,no,no,no,6797,0,tt0034398,,,,,no,no,no,
no,The Wolf Man / Werewolf Of London,,1900,Movie,DVD,Collectors Edition,United Kingdom,,2,no,no,,0,,Owned,,,no,no,yes,no,222,5050582257076,tt0000000,,,,,,,,
no,The Wolf of Wall Street,,2013,Movie,DVD,,Finland,,1,yes,yes,2.40:1,172,Martin Scorsese,Owned,,,no,no,no,no,2206,5050582975048,tt0993846,,,,,,,,
yes,The Wolf of Wall Street,,2013,Movie,Blu-ray,,Nordic,,1,yes,yes,2.40:1,180,Martin Scorsese,Owned,Still Wrapped,,no,no,no,no,2904,5050582975062,tt0993846,,,,,,,,
yes,The Wolfman,,2010,Movie,DVD,Extended Director's Cut,Nordic,,1,yes,yes,1.85:1,104,Joe Johnston,SaleOrTrade,Excellent,,no,no,no,no,3287,5050582844832,tt0780653,,,,,,,,
yes,The Wolfman,,2010,Movie,DVD,,Finland,,1,yes,no,1.85:1,114,Joe Johnston,Owned,Excellent,,no,no,yes,no,3564,5050582779677,tt0780653,,,,,,,,
no,The Wolfman Legacy Collection,,1900,,DVD,,Finland,,1,no,no,1.33:1,0,,Owned,,,no,no,no,no,4056,5050582272239,tt0000000,,,,,,,,
yes,The Wolverine,,2013,Movie,Blu-ray,Unleashed 2-Disc Extended Edition,Nordic,,2,yes,no,2.40:1,125,James Mangold,Owned,Excellent,,no,no,no,no,3404,7340112701055,tt1430132,,,,,,,,
yes,The Woman,,2011,Movie,Blu-ray,,Nordic,,1,yes,no,1.78:1,100,Lucky McKee,Owned,Excellent,,no,no,no,no,5198,7391970040251,tt1714208,,,,,no,no,no,
yes,The Woman in Black,,2012,Movie,DVD,,Finland,,1,yes,no,,0,James Watkins,Owned,Excellent,,no,no,no,no,3184,6438044338256,tt1596365,,,,,,,,
yes,The Woman in Black 2: Angel of Death,The Woman in Black: Angel of Death,2014,Movie,Blu-ray,,Nordic,,1,yes,no,2.35:1,98,Tom Harper,Owned,Excellent,,no,no,no,no,3352,5706140570674,tt2339741,,,,,,,,
yes,The Woman In Green,Sherlock Holmes ja vihreäpukuinen nainen,1945,Movie,DVD,,Finland,,1,yes,no,,0,Roy William Neill,Owned,Good,,no,no,no,no,1828,6415018625833,tt0000000,,The Great Hollywood Classics,,,,,,
yes,The Woman In Green,,1945,Movie,DVD,,Nordic,,,yes,,,,Roy William Neill,Owned,Still Wrapped,,no,no,no,no,,,,1637,,,,,,,
yes,The Woodsman,,2004,Movie,DVD,,Finland,,1,yes,no,1.85:1,84,Nicole Kassell,Owned,Fair,,no,no,no,no,2055,6416548450018,tt0361127,,,,,,,,
no,The Woody Allen Collection,,1900,Movie,DVD,,United Kingdom,,20,no,no,,1721,,Owned,,,no,no,no,no,2832,5039036053259,tt0000000,,,,,,,,
yes,The World According to Garp,Garpin Maailma,1982,Movie,DVD,,Finland,,1,yes,yes,1.85:1,130,George Roy Hill,Owned,Fair,,no,no,no,no,7731,7321944112615,tt0084917,,,,,no,no,no,
yes,The World Is Not Enough,Kun maailma ei riitä,1999,Movie,DVD,Kahden levyn Ultimate Edition,Finland,,2,yes,yes,,0,Michael Apted,Owned,Excellent,,no,no,no,no,1416,6438044112450,tt0143145,,James Bond,,,yes,,,
no,The World Is Not Enough,Kun maailma ei riitä,1999,Movie,DVD,Special 007 Edition,Finland,,1,yes,yes,2.35:1,124,Michael Apted,Owned,Excellent,,no,no,no,no,5579,6420614618554,tt0143145,,,,,yes,no,no,
yes,The World Is Not Enough,,1999,Movie,Blu-ray,,Nordic,,1,yes,yes,2.35:1,128,Michael Apted,Owned,Still Wrapped,,no,no,no,no,3441,5704028900292,tt0143145,,James Bond,,,,,,
yes,The World Is Not Enough,Kun maailma ei riitä,1999,Movie,DVD,,Finland,,1,yes,yes,,0,,Owned,Excellent,"ei barcodea, ei vihkoa",no,no,no,no,4036,0,,,James Bond,,,,,,
yes,The World's End,,2013,Movie,DVD,,United Kingdom,,1,no,yes,2.35:1,109,Edgar Wright,Owned,Fair,,no,no,no,no,882,5050582960914,tt1213663,,,,,,,,
no,The World's End,,2013,Movie,Blu-ray,,United Kingdom,,1,no,yes,2.35:1,109,Edgar Wright,Owned,Excellent,,no,no,yes,no,5324,5050582960938,tt1213663,,,,,no,no,no,
